trader,total_volume,total_score,top_percentile,trade_count,wallet_rank,label
0x2bffe624c042200dd6024f1da7d1acbbe4791fbb,2003761.2923740002,7052.28789859677,46.087876176074985,318,6456,
0xc851cd9bee7d262afd78674f861f9f576a12cd2a,2000238.4405740001,4140.652079719521,101.85124531805153,301,621,
0x30cecdf29f069563ea21b8ae94492e41e53a6b2b,1995235.2838,31539.79276877584,10.889980567618256,19709,31520,
0x2974bd0059e48f215c391882976e0f1b4c8c9c23,1985772.4581140005,6984.582347203872,71.39561132260984,1085,2169,
0x6ea6e1d28acc1c393b8fbf360c06d71a99a39261,1985164.9918900002,8235.172602441826,101.62889266891057,363,647,
0x6d7776a0f954be1a7c975a1e8244de6268f7b72c,1911142.49672,3679.619564536416,101.78250001034465,338,626,
0x88c4919de76e526d55a32c1f8afb439dd1f1129a,1891827.8803590005,7752.401719972307,54.9483712725543,1264,3601,
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,1812283.4483179997,5676.956018288692,78.14954625530692,994,1605,
0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,1788011.046623,6867.322662276728,102.9817911613954,800,525,
0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,1740101.1154930007,6878.17024235838,55.15143463462328,1114,3561,
0xd5ccdf772f795547e299de57f47966e24de8dea4,1688017.09925,5223.7157092251355,104.9130256864901,378,426,
0x1d8c256b15d3cd1f5db221e70c77f552eb8d757a,1679269.4095799986,19142.920044148377,8.741393241242415,12864,32921,
0x7523cafcee7bcf2db9a79d80e0d79b88a9a54c4c,1652369.13573,5308.204959389331,104.59879495434458,263,436,
0x86cd93526a4e7ad201ed3d1c6f2647b61837504c,1619088.2733400003,3850.639058298804,102.23500191056718,214,582,
0xd748c701ad93cfec32a3420e10f3b08e68612125,1617378.5746999998,4736.325598654841,102.38321257724958,472,569,
0x68c24bf4a8ad4d79a6fe4b8eec6f93a02dfd1711,1572393.7449109997,6551.214411971408,67.34365892944878,980,2406,
0x3e2391418438e76a76b6699474abf803cceb9b18,1559178.79581,742.3082124119409,100.79296582546408,9,755,
0xca765a4d03509c1dfed7a061b3fa632190d428b3,1543243.457668,2171.3646821367797,100,102,862,
0xe25b9180f5687aa85bd94ee309bb72a464320f1b,1517329.5727829998,4829.002421291198,101.87586326294196,274,618,
0x4dfd481c16d9995b809780fd8a9808e8689f6e4a,1507461.086681,3347.0768111608813,119.44599331017011,126,168,
0xa3e961ce67034afb60cbdd862df04db6f37b1279,1493124.1327699998,5307.276157586839,104.03630846361315,190,466,
0x5188fa0e8a77e87bc6a58e6781fdfc4e165cc804,1486276.171138,4239.211978808041,60.01240580676655,880,2987,
0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,1464940.50528,3545.3184552789603,100,54,862,
0x0c4b64af62a0ac3dd477e9f80ec3eaa18e92f6db,1435982.0827900004,3482.207869160902,101.27986348122867,245,684,
0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,1430459.4396900001,5294.058882519941,101.16361478272977,416,698,
0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,1418590.799513,7762.546009412956,102.04863274108094,749,599,
0x129a74a461309a9e4ebba1fa1403668c45cf9fb6,1415570.60206,2363.152282340618,125,26,142,
0xab19716584931d81cd9e7763402673a64baa4876,1413515.25542,2147.7821947132784,103.69201797453445,173,487,
0x05e26c775ecfe91b897d47f134c1bf5900ca6e12,1404411.20943,4263.684828514394,111.18702852944251,194,250,
0xf2f6af4f27ec2dcf4072095ab804016e14cd5817,1369208.4302500002,5793.669873695233,105.76558835064272,469,392,
0xe1194d05876b71b05572c1b59bd49a157f21e30f,1360799.2885009998,3254.080323571924,102.18298712247483,197,587,
0x9c2617462567859fcf5764e03b9a687ebca274bc,1356846.2524289999,2982.424497940792,125.93773375993464,79,110,
0xfffadf38a520cd5a0035ff52d7fceb436a08864b,1355284.81003,3081.2281627464904,116.18740529221988,79,188,
0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,1346523.143819,5469.950900576812,114.88727796276281,602,207,
0xa022ba0a68e11a78348382ff168601012d4d77f8,1343088.4762,4016.9177001475036,126.76602902447051,277,90,
0x29d683970afb6f722ea1f9d4417c7ee7057cd57f,1341299.2365100002,1885.1259546009046,128.56276647429777,36,72,
0xd48a81db62f742c4e42d86dfc23a7ee345366e90,1310141.4857600008,6632.273010838482,49.46525306251281,1081,5904,
0x32b484581fc5606de9c1e43af4636b6be9bc8b21,1304258.2529700005,8139.558639725119,39.25052822306228,1612,8242,
0x0e5bd76779e74304d08e759072abf126d87da593,1298820.867629,979.7485272645137,106.25940240722892,48,370,
0x40e1d00d3a43af1c4f215bd7a1039cc792ad973f,1289516.306368,809.4145187934714,101.00000000002,22,720,
0xf9009e251a87b8b96fb184591da93546af96cd0c,1263096.0020589996,3472.8319024172415,23.703065130205427,1624,27800,
0x122cdd9db64fd8dc3ebab813218e3effe21f821f,1261998.76753,3482.715463663505,105.10526423279488,233,417,
0x8f42ae0a01c0383c7ca8bd060b86a645ee74b88f,1259349.9201379998,5891.850647329566,64.62288900199644,642,2603,
0xe598435df0cdf5d22bdd5082d557f75f9180a0a8,1254041.7751909997,6515.918296734597,61.549382936935174,1023,2839,
0x45a22737a76fafd5dd101eb0dc6030986eb13c01,1237077.2167260002,11473.917943600278,144.15563471560338,1324,21,
0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,1233356.79531,3864.0067668680604,101.40755962445412,250,671,
0xa9e8faf20424f3efbf12abaea0e7069d7546c443,1229935.7139680001,4507.750728921057,102.05907221988491,417,598,
0xc5adc0dc256fb943da868b2f8f6e63f13921b0cf,1203765.35922,1281.8418351615046,103.57185750545455,88,493,
0xc0a1298e2d6ba216efb554865369152da9c5a33b,1200615.795905,2114.9188326425283,103.78554332803094,100,482,
0x6d9fc316c3b8377060a44b852ba664adbfd59790,1192776.0829179997,4830.973992469525,82.65155667220473,700,1377,
0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,1191297.7282,2123.370081921316,103.80999718795037,56,479,
0xc13cbd011bc02c0c9fd9a5d4dbd236ecc0e8a202,1186053.049925,2029.724436115595,100.8500000000425,103,746,
0x8f7a4b414417911e7e9bd738399874792cdbdb40,1185325.3884319998,4081.6934017513418,50.987928284515725,1050,4829,
0xc84f7e76ec28ef20e7773b7b4926bfb7378be0c5,1173580.4648380002,3999.2357353091375,103.65776785438703,223,490,
0x45b39e1f71e47fd4afe4b988ffad690b644735bc,1163516.7204500001,1895.2766493626953,108.44305520539254,72,308,
